item_id,category,architecture,run_index,completion_tokens,wall_clock_s,auto_length_chars,auto_expect_lang,auto_likely_lang,auto_drift_flag,auto_script_mixed,auto_turkish_hits,auto_apostrophe_variants,auto_empty,auto_chrf,auto_ref_match
fact_001,fact,standalone,0,20,1.5,47,uz,unknown,True,False,0,1,False,,True
fact_001,fact,standalone,1,20,0.6,47,uz,unknown,True,False,0,1,False,,True
fact_001,fact,standalone,2,20,0.6,47,uz,unknown,True,False,0,1,False,,True
fact_002,fact,standalone,0,42,0.6,101,uz,unknown,True,False,0,1,False,,True
fact_002,fact,standalone,1,19,0.5,49,uz,unknown,True,False,0,1,False,,True
fact_002,fact,standalone,2,19,0.5,49,uz,unknown,True,False,0,1,False,,True
fact_003,fact,standalone,0,78,0.7,215,uz,uz,False,False,0,1,False,,True
fact_003,fact,standalone,1,78,0.8,215,uz,uz,False,False,0,1,False,,True
fact_003,fact,standalone,2,78,0.7,215,uz,uz,False,False,0,1,False,,True
fact_004,fact,standalone,0,143,0.9,372,uz,uz,False,False,0,1,False,,True
fact_004,fact,standalone,1,143,1.0,383,uz,uz,False,False,0,1,False,,True
fact_004,fact,standalone,2,139,0.9,369,uz,uz,False,False,0,1,False,,True
fact_005,fact,standalone,0,111,0.9,303,uz,uz,False,False,0,1,False,,True
fact_005,fact,standalone,1,108,0.8,303,uz,uz,False,False,0,1,False,,True
fact_005,fact,standalone,2,111,0.9,303,uz,uz,False,False,0,1,False,,True
fact_006,fact,standalone,0,93,0.8,258,uz,uz,False,False,0,1,False,,True
fact_006,fact,standalone,1,109,61.9,316,uz,uz,False,False,0,1,False,,True
fact_006,fact,standalone,2,66,0.8,195,uz,uz,False,False,0,1,False,,True
fact_007,fact,standalone,0,60,0.7,132,uz,uz,False,False,0,0,False,,False
fact_007,fact,standalone,1,60,0.7,132,uz,uz,False,False,0,0,False,,False
fact_007,fact,standalone,2,60,0.6,132,uz,uz,False,False,0,0,False,,False
fact_008,fact,standalone,0,225,1.5,619,uz,uz,False,False,0,2,False,,True
fact_008,fact,standalone,1,264,1.4,701,uz,uz,False,False,0,1,False,,True
fact_008,fact,standalone,2,155,1.1,407,uz,uz,False,False,0,1,False,,True
fact_009,fact,standalone,0,42,0.6,95,uz,uz,False,False,0,1,False,,False
fact_009,fact,standalone,1,42,0.6,95,uz,uz,False,False,0,1,False,,False
fact_009,fact,standalone,2,42,0.7,95,uz,uz,False,False,0,1,False,,False
fact_010,fact,standalone,0,76,0.7,200,uz,uz,False,False,0,1,False,,False
fact_010,fact,standalone,1,73,1.0,187,uz,uz,False,False,0,1,False,,False
fact_010,fact,standalone,2,77,0.7,196,uz,uz,False,False,0,1,False,,False
fact_011,fact,standalone,0,56,0.7,148,uz,uz,False,False,0,0,False,,False
fact_011,fact,standalone,1,53,0.6,138,uz,uz,False,False,0,0,False,,False
fact_011,fact,standalone,2,51,2.2,133,uz,uz,False,False,0,0,False,,False
fact_012,fact,standalone,0,81,0.7,158,uz,uz,False,False,0,0,False,,False
fact_012,fact,standalone,1,10,0.5,24,uz,uz,False,False,0,0,False,,False
fact_012,fact,standalone,2,10,0.5,24,uz,uz,False,False,0,0,False,,False
fact_013,fact,standalone,0,96,0.8,248,uz,uz,False,False,0,1,False,,True
fact_013,fact,standalone,1,30,0.6,88,uz,uz,False,False,0,1,False,,True
fact_013,fact,standalone,2,82,0.8,213,uz,uz,False,False,0,1,False,,True
fact_014,fact,standalone,0,112,0.8,293,uz,uz,False,False,0,1,False,,True
fact_014,fact,standalone,1,104,0.8,294,uz,uz,False,False,0,1,False,,True
fact_014,fact,standalone,2,114,0.9,296,uz,uz,False,False,0,1,False,,True
fact_015,fact,standalone,0,68,0.7,177,uz,uz,False,False,0,0,False,,False
fact_015,fact,standalone,1,68,0.7,177,uz,uz,False,False,0,0,False,,False
fact_015,fact,standalone,2,68,0.7,180,uz,uz,False,False,0,0,False,,False
fact_016,fact,standalone,0,175,1.0,373,uz,uz,False,False,0,1,False,,False
fact_016,fact,standalone,1,160,1.1,376,uz,uz,False,False,0,2,False,,False
fact_016,fact,standalone,2,152,1.0,354,uz,uz,False,False,0,2,False,,False
fact_017,fact,standalone,0,171,34.0,477,uz,uz,False,False,0,1,False,,False
fact_017,fact,standalone,1,125,59.7,349,uz,uz,False,False,0,1,False,,False
fact_017,fact,standalone,2,138,0.8,382,uz,uz,False,False,0,1,False,,False
fact_018,fact,standalone,0,165,1.2,467,uz,uz,False,False,0,1,False,,True
fact_018,fact,standalone,1,226,1.2,626,uz,uz,False,False,0,2,False,,True
fact_018,fact,standalone,2,229,1.4,623,uz,uz,False,False,0,2,False,,True
fact_019,fact,standalone,0,78,0.7,160,uz,uz,False,False,0,1,False,,True
fact_019,fact,standalone,1,60,0.7,131,uz,unknown,True,False,0,1,False,,False
fact_019,fact,standalone,2,92,0.9,204,uz,uz,False,False,0,1,False,,True
fact_020,fact,standalone,0,30,0.6,73,uz,tr,True,False,1,1,False,,True
fact_020,fact,standalone,1,29,0.6,75,uz,unknown,True,False,0,1,False,,True
fact_020,fact,standalone,2,27,0.6,66,uz,unknown,True,False,0,1,False,,True
fact_021,fact,standalone,0,63,0.7,162,uz,uz,False,False,0,1,False,,False
fact_021,fact,standalone,1,90,0.7,209,uz,uz,False,False,0,1,False,,False
fact_021,fact,standalone,2,48,0.6,131,uz,uz,False,False,0,1,False,,False
fact_022,fact,standalone,0,115,1.0,330,uz,uz,False,False,0,1,False,,True
fact_022,fact,standalone,1,29,0.6,87,uz,uz,False,False,0,0,False,,True
fact_022,fact,standalone,2,29,2.2,88,uz,uz,False,False,0,0,False,,True
fact_023,fact,standalone,0,104,0.8,275,uz,uz,False,False,0,1,False,,True
fact_023,fact,standalone,1,117,1.0,303,uz,uz,False,False,0,1,False,,True
fact_023,fact,standalone,2,120,1.0,314,uz,uz,False,False,0,1,False,,True
fact_024,fact,standalone,0,157,1.0,401,uz,ru,True,True,0,1,False,,False
fact_024,fact,standalone,1,134,0.9,319,uz,uz,False,False,0,1,False,,False
fact_024,fact,standalone,2,122,0.9,294,uz,uz,False,False,0,1,False,,False
fact_025,fact,standalone,0,123,0.9,345,uz,uz,False,False,0,1,False,,True
fact_025,fact,standalone,1,97,0.8,264,uz,uz,False,False,0,1,False,,True
fact_025,fact,standalone,2,133,0.9,375,uz,uz,False,False,0,2,False,,True
fact_026,fact,standalone,0,184,1.1,507,uz,uz,False,False,0,1,False,,False
fact_026,fact,standalone,1,287,1.5,754,uz,uz,False,False,0,2,False,,False
fact_026,fact,standalone,2,284,1.5,758,uz,uz,False,False,0,2,False,,False
fact_027,fact,standalone,0,14,0.5,35,uz,uz,False,False,0,0,False,,True
fact_027,fact,standalone,1,14,0.5,35,uz,uz,False,False,0,0,False,,True
fact_027,fact,standalone,2,14,0.5,35,uz,uz,False,False,0,0,False,,True
fact_028,fact,standalone,0,79,31.6,193,uz,uz,False,False,0,1,False,,True
fact_028,fact,standalone,1,130,60.3,352,uz,uz,False,False,0,1,False,,True
fact_028,fact,standalone,2,72,0.7,184,uz,uz,False,False,0,1,False,,True
fact_029,fact,standalone,0,103,0.7,291,uz,uz,False,False,0,1,False,,True
fact_029,fact,standalone,1,107,0.8,293,uz,uz,False,False,0,1,False,,True
fact_029,fact,standalone,2,107,0.8,293,uz,uz,False,False,0,1,False,,True
fact_030,fact,standalone,0,55,0.7,169,uz,uz,False,False,0,1,False,,False
fact_030,fact,standalone,1,51,0.6,168,uz,uz,False,False,0,1,False,,False
fact_030,fact,standalone,2,57,0.7,172,uz,uz,False,False,0,1,False,,False
trans_001,trans,standalone,0,26,0.5,88,en,uz,True,False,0,0,False,0.6296,
trans_001,trans,standalone,1,20,0.5,62,en,uz,True,False,0,0,False,0.7419,
trans_001,trans,standalone,2,22,0.5,65,en,unknown,True,False,0,0,False,0.7285,
trans_002,trans,standalone,0,39,0.6,130,en,uz,True,False,0,0,False,0.6921,
trans_002,trans,standalone,1,22,0.5,79,en,uz,True,False,0,0,False,0.839,
trans_002,trans,standalone,2,22,0.6,79,en,uz,True,False,0,0,False,0.839,
trans_003,trans,standalone,0,25,0.6,62,uz,uz,False,False,0,1,False,0.6037,
trans_003,trans,standalone,1,25,0.6,62,uz,uz,False,False,0,1,False,0.6037,
trans_003,trans,standalone,2,27,50.1,65,uz,uz,False,False,0,1,False,0.5928,
trans_004,trans,standalone,0,102,0.9,275,uz,uz,False,False,0,1,False,0.3844,
trans_004,trans,standalone,1,103,1.0,281,uz,uz,False,False,0,1,False,0.3789,
trans_004,trans,standalone,2,150,1.0,403,uz,uz,False,False,0,1,False,0.3502,
trans_005,trans,standalone,0,104,0.8,353,en,uz,True,False,0,1,False,0.4802,
trans_005,trans,standalone,1,70,0.6,246,en,uz,True,False,0,1,False,0.5891,
trans_005,trans,standalone,2,94,0.7,320,en,uz,True,False,0,1,False,0.5041,
trans_006,trans,standalone,0,48,0.6,126,uz,uz,False,False,0,1,False,0.8244,
trans_006,trans,standalone,1,46,0.6,124,uz,uz,False,False,0,1,False,0.8276,
trans_006,trans,standalone,2,46,0.6,124,uz,uz,False,False,0,1,False,0.8276,
trans_007,trans,standalone,0,74,0.9,264,en,uz,True,False,0,0,False,0.4417,
trans_007,trans,standalone,1,43,0.7,158,en,uz,True,False,0,0,False,0.5585,
trans_007,trans,standalone,2,108,0.8,362,en,uz,True,False,0,1,False,0.3671,
trans_008,trans,standalone,0,36,1.3,90,uz,unknown,True,False,0,1,False,0.6601,
trans_008,trans,standalone,1,36,0.6,90,uz,unknown,True,False,0,1,False,0.6601,
trans_008,trans,standalone,2,36,0.7,90,uz,unknown,True,False,0,1,False,0.6601,
trans_009,trans,standalone,0,57,48.5,196,en,uz,True,False,0,1,False,0.586,
trans_009,trans,standalone,1,77,0.8,288,en,uz,True,False,0,0,False,0.5212,
trans_009,trans,standalone,2,57,0.6,195,en,uz,True,False,0,1,False,0.586,
trans_010,trans,standalone,0,120,1.0,326,uz,uz,False,False,0,1,False,0.2045,
trans_010,trans,standalone,1,94,0.9,256,uz,uz,False,False,0,1,False,0.3636,
trans_010,trans,standalone,2,90,1.0,242,uz,uz,False,False,0,1,False,0.4037,
trans_011,trans,standalone,0,24,0.5,74,en,unknown,True,False,0,0,False,0.7923,
trans_011,trans,standalone,1,28,0.5,97,en,uz,True,False,0,0,False,0.7078,
trans_011,trans,standalone,2,22,0.6,71,en,uz,True,False,0,0,False,0.8036,
trans_012,trans,standalone,0,34,0.6,85,uz,uz,False,False,0,1,False,0.7097,
trans_012,trans,standalone,1,35,0.6,94,uz,uz,False,False,0,2,False,0.5578,
trans_012,trans,standalone,2,34,0.6,85,uz,uz,False,False,0,1,False,0.7097,
trans_013,trans,standalone,0,154,1.1,432,en,uz,True,False,0,1,False,0.2196,
trans_013,trans,standalone,1,164,1.2,462,en,uz,True,False,0,1,False,0.2405,
trans_013,trans,standalone,2,165,1.1,469,en,uz,True,False,0,1,False,0.208,
trans_014,trans,standalone,0,188,1.3,505,en,uz,True,False,0,1,False,0.1862,
trans_014,trans,standalone,1,180,2.7,497,en,uz,True,False,0,1,False,0.1878,
trans_014,trans,standalone,2,221,1.1,592,en,uz,True,False,0,2,False,0.167,
trans_015,trans,standalone,0,319,1.7,1039,en,uz,True,False,0,1,False,0.134,
trans_015,trans,standalone,1,279,1.4,1048,en,en,False,False,0,1,False,0.1878,
trans_015,trans,standalone,2,322,1.8,1083,en,en,False,False,0,1,False,0.1594,
trans_016,trans,standalone,0,86,0.8,217,uz,uz,False,False,0,1,False,0.1985,
trans_016,trans,standalone,1,148,1.1,392,uz,uz,False,False,0,1,False,0.308,
trans_016,trans,standalone,2,132,0.9,337,uz,uz,False,False,0,1,False,0.2889,
trans_017,trans,standalone,0,59,0.6,178,en,en,False,False,0,1,False,0.6729,
trans_017,trans,standalone,1,98,0.8,303,en,en,False,False,0,1,False,0.5129,
trans_017,trans,standalone,2,59,0.7,178,en,en,False,False,0,1,False,0.6729,
trans_018,trans,standalone,0,38,0.6,98,uz,unknown,True,False,0,1,False,0.754,
trans_018,trans,standalone,1,42,0.7,117,uz,uz,False,False,0,1,False,0.6732,
trans_018,trans,standalone,2,42,0.6,117,uz,uz,False,False,0,1,False,0.6732,
trans_019,trans,standalone,0,193,1.1,654,en,uz,True,False,0,1,False,0.3209,
trans_019,trans,standalone,1,110,0.8,401,en,uz,True,False,0,0,False,0.4696,
trans_019,trans,standalone,2,70,90.2,244,en,en,False,False,0,0,False,0.496,
trans_020,trans,standalone,0,35,0.6,89,uz,unknown,True,False,0,1,False,0.4478,
trans_020,trans,standalone,1,35,0.6,89,uz,unknown,True,False,0,1,False,0.4478,
trans_020,trans,standalone,2,35,0.6,89,uz,unknown,True,False,0,1,False,0.4478,
trans_021,trans,standalone,0,27,0.6,78,en,en,False,False,0,0,False,0.8117,
trans_021,trans,standalone,1,25,0.5,75,en,uz,True,False,0,0,False,0.8223,
trans_021,trans,standalone,2,25,0.5,75,en,uz,True,False,0,0,False,0.8223,
trans_022,trans,standalone,0,25,0.6,64,uz,uz,False,False,0,1,False,0.746,
trans_022,trans,standalone,1,9,0.5,24,uz,uz,False,False,0,0,False,1.0,
trans_022,trans,standalone,2,9,0.5,24,uz,uz,False,False,0,0,False,1.0,
trans_023,trans,standalone,0,101,0.8,341,en,uz,True,False,0,1,False,0.6372,
trans_023,trans,standalone,1,94,0.8,331,en,uz,True,False,0,0,False,0.647,
trans_023,trans,standalone,2,115,0.9,387,en,uz,True,False,0,1,False,0.5993,
trans_024,trans,standalone,0,45,0.6,120,uz,unknown,True,False,0,1,False,0.729,
trans_024,trans,standalone,1,47,0.7,137,uz,uz,False,False,0,2,False,0.7365,
trans_024,trans,standalone,2,46,0.6,124,uz,unknown,True,False,0,1,False,0.7231,
trans_025,trans,standalone,0,90,50.5,288,en,uz,True,False,0,1,False,0.2024,
trans_025,trans,standalone,1,111,0.8,334,en,uz,True,False,0,2,False,0.1832,
trans_025,trans,standalone,2,88,1.0,262,en,uz,True,False,0,1,False,0.2133,
trans_026,trans,standalone,0,79,0.7,210,uz,uz,False,False,0,1,False,0.463,
trans_026,trans,standalone,1,120,0.8,326,uz,uz,False,False,0,1,False,0.2896,
trans_026,trans,standalone,2,80,0.8,211,uz,uz,False,False,0,1,False,0.4599,
trans_027,trans,standalone,0,84,0.8,268,en,uz,True,False,0,1,False,0.3453,
trans_027,trans,standalone,1,73,0.7,239,en,uz,True,False,0,1,False,0.3631,
trans_027,trans,standalone,2,94,0.8,291,en,uz,True,False,0,1,False,0.3299,
trans_028,trans,standalone,0,89,0.9,245,uz,uz,False,False,0,2,False,0.3274,
trans_028,trans,standalone,1,85,0.8,233,uz,uz,False,False,0,1,False,0.3386,
trans_028,trans,standalone,2,137,1.1,390,uz,uz,False,False,0,2,False,0.3065,
trans_029,trans,standalone,0,57,0.7,207,en,en,False,False,0,0,False,0.6774,
trans_029,trans,standalone,1,31,0.6,127,en,uz,True,False,0,0,False,0.5854,
trans_029,trans,standalone,2,31,0.6,127,en,uz,True,False,0,0,False,0.5854,
trans_030,trans,standalone,0,67,0.6,189,uz,uz,False,False,0,1,False,0.5036,
trans_030,trans,standalone,1,65,48.2,187,uz,uz,False,False,0,1,False,0.5462,
trans_030,trans,standalone,2,67,0.7,189,uz,uz,False,False,0,1,False,0.5424,
reas_001,reas,standalone,0,88,0.7,182,uz,uz,False,False,0,1,False,,
reas_001,reas,standalone,1,89,0.7,187,uz,uz,False,False,0,1,False,,
reas_001,reas,standalone,2,94,0.7,195,uz,uz,False,False,0,1,False,,
reas_002,reas,standalone,0,66,0.6,110,uz,unknown,True,False,0,1,False,,
reas_002,reas,standalone,1,63,0.7,108,uz,unknown,True,False,0,1,False,,
reas_002,reas,standalone,2,66,0.6,110,uz,unknown,True,False,0,1,False,,
reas_003,reas,standalone,0,137,0.9,295,uz,uz,False,False,0,1,False,,
reas_003,reas,standalone,1,167,0.8,362,uz,uz,False,False,0,1,False,,
