item_id,category,difficulty,direction,prompt,reference,uzbek_ok?,answer_ok?,corrections
fact_001,fact,easy,,O'zbekistonning poytaxti qaysi shahar?,Toshkent,,,
fact_002,fact,easy,,O'zbekistonning pul birligi nima deb ataladi?,So'm,,,
fact_003,fact,easy,,O'zbekistonning eng katta shahri qaysi?,Toshkent,,,
fact_004,fact,medium,,O'zbekiston mustaqillikka qaysi yilda erishgan?,1991,,,
fact_005,fact,medium,,Amir Temur qaysi shaharni o'z saltanatining poytaxti qilgan?,Samarqand,,,
fact_006,fact,medium,,"O'zbekistonda joylashgan, dunyoning eng qadimgi shaharlaridan biri bo'lgan va 'Registon' maydoni bilan mashhur shahar qaysi?",Samarqand,,,
fact_007,fact,easy,,Bir hafta necha kundan iborat?,7 (yetti),,,
fact_008,fact,medium,,O'zbekistonning janubidagi Amudaryo qaysi dengizga quyiladi (tarixan)?,Orol dengizi,,,
fact_009,fact,hard,,Buyuk o'zbek shoiri va davlat arbobi Alisher Navoiy qaysi asrda yashagan?,15-asr (XV asr),,,
fact_010,fact,medium,,O'zbekiston bilan chegaradosh bo'lgan besh davlatdan uchtasini ayting.,"Qozog'iston, Qirg'iziston, Tojikiston, Turkmaniston, Afg'oniston (istalgan uchtasi)",,,
fact_011,fact,easy,,Suvning kimyoviy formulasi qanday?,H2O,,,
fact_012,fact,easy,,Bir yilda necha oy bor?,12 (o'n ikki),,,
fact_013,fact,medium,,"Quyosh sistemasida Yerdan keyingi, Quyoshdan to'rtinchi sayyora qaysi?",Mars,,,
fact_014,fact,medium,,Inson tanasidagi eng katta ichki a'zo qaysi?,Jigar,,,
fact_015,fact,hard,,"Kimyoda vodorod, geliy, litiy, berilliydan keyin keladigan beshinchi kimyoviy element qaysi?",Bor (Boron),,,
fact_016,fact,easy,,O'zbek alifbosida (lotin) nechta harf bor?,29 harf,,,
fact_017,fact,medium,,O'zbekistonning Farg'ona vodiysida joylashgan uchta yirik shaharni ayting.,"Farg'ona, Andijon, Namangan (istalgan uchtasi; Qo'qon ham to'g'ri)",,,
fact_018,fact,hard,,"Xorazm Ma'mun akademiyasida faoliyat yuritgan, algebra faniga asos solgan buyuk olim kim?",Muhammad al-Xorazmiy,,,
fact_019,fact,medium,,Yorug'lik vakuumda sekundiga taxminan qancha masofani bosib o'tadi (km/s da)?,Taxminan 300 000 km/s,,,
fact_020,fact,easy,,Uchburchakning ichki burchaklari yig'indisi necha gradusga teng?,180 gradus,,,
fact_021,fact,medium,,O'zbekiston bayrog'ida nechta yulduz tasvirlangan?,12 yulduz,,,
fact_022,fact,hard,,'Boburnoma' asarining muallifi kim?,Zahiriddin Muhammad Bobur,,,
fact_023,fact,medium,,Toshkent shahridagi metro nechanchi yilda ochilgan?,1997,,,
fact_024,fact,easy,,Insonning yuragida necha kamera bor?,4 (to'rtta),,,
fact_025,fact,hard,,O'zbekistonning qaysi viloyati eng katta maydonga ega?,Navoiy viloyati,,,
fact_026,fact,medium,,Paxta o'simligidan olinadigan tabiiy tola asosan qaysi mahsulot ishlab chiqarishda ishlatiladi?,Mato / kiyim-kechak (to'qimachilik),,,
fact_027,fact,easy,,Bir kilogrammda necha gramm bor?,1000 gramm,,,
fact_028,fact,hard,,1966-yilda qaysi O'zbekiston shahri kuchli zilzila natijasida katta vayronagarchilikka uchragan?,Toshkent,,,
fact_029,fact,medium,,"O'simliklar quyosh nuridan energiya olib, uni oziq-ovqatga aylantiradigan jarayon nima deb ataladi?",Fotosintez,,,
fact_030,fact,hard,,Registon ansambliga kiruvchi uchta madrasadan birortasining nomini ayting.,"Ulug'bek madrasasi, Sherdor madrasasi, Tillakori madrasasi (istalgan biri)",,,
trans_001,trans,easy,uz-en,Quyidagi gapni ingliz tiliga tarjima qiling: Men bugun maktabga bordim.,I went to school today.,,,
trans_002,trans,easy,uz-en,Quyidagi gapni ingliz tiliga tarjima qiling: Onam bozordan olma sotib oldi.,My mother bought apples from the market.,,,
trans_003,trans,easy,en-uz,Quyidagi gapni o'zbek tiliga tarjima qiling: The weather is very cold today.,Bugun havo juda sovuq.,,,
trans_004,trans,easy,en-uz,Quyidagi gapni o'zbek tiliga tarjima qiling: I have two brothers and one sister.,Mening ikkita akam va bitta singlim bor.,,,
trans_005,trans,medium,uz-en,Quyidagi gapni ingliz tiliga tarjima qiling: O'zbekiston iqtisodiyoti so'nggi yillarda barqaror o'sishni namoyish etmoqda.,Uzbekistan's economy has been showing steady growth in recent years.,,,
trans_006,trans,medium,en-uz,Quyidagi gapni o'zbek tiliga tarjima qiling: The government announced new reforms to support small businesses.,Hukumat kichik bizneslarni qo'llab-quvvatlash uchun yangi islohotlarni e'lon qildi.,,,
